input	target
Aago náà ń ṣàfihàn àkókò àti déètì lọ́wọ́lọ́wọ́	The Clock displays the current time and date
Ìyítumọ̀ Àyọkà	Default encoding
Ṣí àwòrán s	Open image s
Hebrew IBM-862	Hebrew IBM-862
Ààyè Aṣàfilọ́lẹ̀	Edit Location
Ń sọ ní pàtó iye àwọn písẹ́ẹ̀lì tó fojúhàn nígbà tí a fi páńẹ̀ẹlì náà pamọ́ sí igun kan.Bọ́tìnì yìí kàn wúlò tí bọ́tìnì ìpamọ́aládàáṣe bá jẹ́ òótọ́.	Specifies the number of pixels visible when the panel is automatically hidden into a corner.This key is only relevant if the autohide key is true.
Ìṣàlàyé pánẹ́ẹ̀lì	Panel orientation
Da padà sí ààyè-iṣẹ́lọ́wọ́lọ́wọ́	Restore to current workspace
Àtòjọ àwọn ìṣàmúlò-ètò àìmọ̀	List of known applications
Fi àwọn fèrèsé láti gbogbo àwọn ààyè-iṣẹ́ hàn	Show windows from all workspaces
Ṣàgbéwọlé Líǹkìs of s	Download finished
Tẹ̀ lórí fèrèsé láti mú ìṣàmúlò-ètò náà jáde pẹ̀lú ipá.Tẹ láti yọkúrò.	Click on a window to force the application to quit.To cancel press .
Arabic ISO-8859-6	Arabic ISO-8859-6
Pa pánẹ́ẹ̀lì yìí jẹ	Cannot delete this panel
Ṣẹ̀dà Àdírẹ̀sì	Copy Address
Àṣẹ fún ìbẹ̀rẹ̀ kò lè jẹ́ òfìfo	The startup command cannot be empty
Rọ́ọ̀nù Ìṣàmúlò-ètò.	Choose an application.
Àwọn èdè tí a fẹ́ jù,àwọn kóòdù lẹ́tà méjì.	Preferred languages,two letter codes.
Western ISO-8859-15	Western ISO-8859-15
Àwọn férémù inú ìṣàfarawé kọ̀ǹpútà ẹja	Frames in fish's animation
Pa àkọlé yìí jẹ	Delete this topic
Gbà nígbà gbogbo	Always accept
Yan Gbogbo Wọn	Select All
Japanese ISO-2022-JP	Japanese ISO-2022-JP
Àwon àgbéwọlé	Downloads Bar
Gé ẹ̀yàn náà	Cut the selection
Ìwọ̀n àtòjọ fèrèsé tó ga jù	Maximum window list size
Ìjáde ipá	Force quit
Àṣẹ tí a fẹ́ rọ́ọ̀nù tí a bá tẹ	Command to run when clicked
Fi àwòrán sí pánẹ́ẹ̀lì	City Time Zone
Ṣí Líǹkì nínú Táàbù Tuntun	Open Link in New Tab
Àwọn orúkọ àyè-iṣẹ́	Workspace names
Àyọkà Ńlá	Larger Text
Ààyè Aṣàfilọ́lẹ̀	Weather Information
Nípa ojú ìdarí kọmpútà GNOME	About the GNOME Desktop
Fátìrì Ápúlẹ́ẹ̀tì Ìtọpa Fèrèsé	Window Navigation Applet Factory
Àwọn ìsàmúlò-ètò tí kò bá àwọn ọ̀wọ́ mìíràn mu	Applications that did not fit in other categories
Fihàn lórí Àká-irinṣẹ́	Show on Toolbar
Ìṣàmójútó àti àtòpọ̀ ètò kọ̀ǹpútà	System configuration and monitoring
Ìdádúró àìfipamọ́-aládàáṣe pánẹ́èlì	Panel autounhide delay
Ṣẹ̀dá àkọlé tuntun	Create Web Application
Epiphany RDF	Epiphany RDF
Ṣẹ̀dà Àdírẹ̀sì	Copy Address
Fi Líǹkì Pamọ́ Gẹ́gẹ́ Bíi	Save Link As…
Àfikún à̀wọn ìlàálẹ̀ òfin tí kò léwu	Additional safe protocols
Àwọn Àbùdá Pánẹ́ẹ̀lì	Drawer Properties
s Ẹja náà Sọ pé	s the Fish Says
Wá Èyí Tókàn	Find Next
IM p	IM p
Na àwòrán sí pánẹ́ẹ̀lì	Stretch image to panel
Fihàn lórí Àká-irinṣẹ́	Show in folder
Vietnamese Windows-1258	Vietnamese Windows-1258
Yípo lórí àwọn pánẹ́ẹ̀lì òòró	Rotate on vertical panels
a b e	a b e
Bọ́́tìnì yìí ń sọ ní pàtó iye àwọn róòlù fún ìlàálẹ̀ ìbú tàbí àwọṅ kọ́lọ̀mù fún ìlàálẹ̀òòró tí ìjánu-ìsún ààyè-iṣẹ́ ń fihàn àwọn ààyè-iṣẹ́ náà.Bọ́tìnì yìí kàn sì wúlòtí bọ́tìnì àwọn ààyè-iṣẹ́gbogboìṣàfihàn bá jẹ́ òótọ́.	This key specifies how many rows for horizontal layout or columns for vertical layout the workspace switcher shows the workspaces in.This key is only relevant if the displayallworkspaces key is true.
Ìwọ̀n pánẹ́ẹ̀lì	Panel size
Yọkúrò Nínú Pánẹ́ẹ̀lì	Remove From Panel
Atọ́ka árò lórí àwọn bọ́tìnì ìpamọ́	Arrows on hide buttons
Yí àwọn ààtò ìfẹ̀sí-ètò kọ̀ǹpútà padà ó kan gbogbo òǹlò	Change system-wide settings affects all users
Àwọn ìkúndùn Ẹja	Fish Preferences
Gbé àwọn àmì-ìwé wọlé láti	Import bookmarks from
Ṣàyẹ̀wò Sítàì-ṣiìtì.	Edit Stylesheet…
Aṣàyàn Fèrèsé ń fi àtòjọ gbogbo àwọn fèrèsé inú àtòjọ-ẹ̀yàn hàn,yóò sì jẹ́ kí́o wá wọn.	The Window Selector shows a list of all windows in a menu and lets you browse them.
Gujarati MacGujarati	Gujarati MacGujarati
Ààyè fáìlì àwòrán tí a lò gẹ́gẹ́ bíi áíkànnù fún bọ́tìnì nǹkan náà.bọ́tìnì yìí kàn wúlò tí bọ́tìnì irúfẹ́nǹkan bá jẹ́ nǹkan-dúrọ́wà tàbí nǹkan àtòjọ-ẹ̀yàn tí bọ́tìnì áíkànnùàkànṣeìlò jẹ́ òótọ́.	The location of the image file used as the icon for the object's button.This key is only relevant if the objecttype key is drawer-object or menu-object and the usecustomicon key is true.
Greek MacGreek	Greek MacGreek
Ṣí fèrèsé tuntuntoolbar style	Open a new window
Tẹ̀ láti wo àwọn àdéhùn-ìpàdé àti àwọn iṣẹ́ rẹ	Click to view your appointments and tasks
Kí fáìlì sáà náà	Load the given session file
Pa Àwọn Àkọsílẹ̀ Àìpẹ̀ Rẹ́	Clear Recent Documents.
Àṣẹ fún ìbẹ̀rẹ̀ kò lè jẹ́ òfìfo	The startup command is not valid
Kóòdù gbogbogbò UTF-32 LE	Unicode UTF-32 LE
Ojú kọ̀ǹpútà d tí a ̀ṣàfihàn 's' kò fẹsẹ̀múlẹ̀	Screen d on display 's' is invalid
Bẹ̀rẹ̀ iṣẹ́ Ní Ọ̀nà kán nà	Restart Anyway
Àpótí ìṣàfihàn Xinerama níbi tí a ti ṣàfihàn pánẹ́ẹ̀lì náà	Xinerama monitor where the panel is displayed
Fi àwọn orúkọ ààyè-iṣẹ́ hàn nínú ìjánu-ìsún	Show workspace names in switcher
Yan Gbogbo Wọn	Select All
Ti Àkọsílẹ̀	Close Document
Ṣàfihàn àkóónú ìwòyí ojú-ìwé lọ́wọ́lọ́wọ́	Display the latest content of the current page
Mú Àwọ̀ kan	Pick a color
Gbé Táàbù Sósì	Move Tab Left
Korean ISO-2022-KR	Korean ISO-2022-KR
Ń sọ níp pàtó àwọ̀ ẹ̀yìn fún pánẹ́ẹ̀lì inú ìgúnrégé RGB.	Specifies the background color for the panel in RGB format.
Àwọn ìkúndùǹ Aago	Clock Preferences
Fi déètì hàn nínú aago	Show weather in clock
Ṣí Líǹkì nínú Táàbù Tuntun	Open Link in New Tab
Àwọ̀ ẹ̀yìn	Background color
Gbé Táàbù Sósì	Move Tab Left
Àṣẹ fún ìbẹ̀rẹ̀ kò lè jẹ́ òfìfo	The startup command is not valid
kìí ṣe irú nkan láti fi bẹrẹ	Not a launchable item
Àṣẹ láti mu ṣiṣẹ́ lórí ìtẹ̀	Command to execute on click
Wòye tàbí kí o tún àwọn àbùdá àmì-ìwé tí a yàn tò	View or modify the properties of the selected bookmark
Ti Ojú Kọ̀ǹpútà	Lock Screen
Yan àmì-àṣírí.	Saved passwords
Ṣàyẹ̀wò Sítàì-ṣiìtì.	Edit Stylesheet…
Àwọn àká-irinṣẹ́ tó ṣe rẹ́gí	Customize toolbars
Agbéròyìn Jáde Tó Ṣeé Yọ	Removable Media
Central European ISO-8859-2	Central European ISO-8859-2
Fidéètì hàn	Show temperature
Fi àwọn fèrèsé ìṣàmúlò-ètò pamọ́,kí o sì fi ojú-iṣẹ́ hàn	Hide application windows and show the desktop
Àtójọ ID nǹkan pánẹ́ẹ̀lì	Panel object ID list
Pánẹ́ẹ̀lì Tuntun	New Panel
A pín Awáròyìn Wẹ́ẹ̀bù GNOME pẹ̀lú ìrètí pé yóò wúlò ṣùgbọ́n a pin LÁÌ SÍ WÁRÁǸTÌ,kódà wáráǹ̀tì ITAJA tàbí ÌWÚLÒ FÚN ÌLÒ PÀTÀKÌ KAN.Wo Àṣẹ Gbogbogbò GNU fún àlàyé lẹ́kùnrẹ́rẹ́.	The GNOME Web Browser is distributed in the hope that it will be useful,but WITHOUT ANY WARRANTY without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.See the GNU General Public License for more details.
Fi ààyè-iṣẹ́ lọ́wọ́lọ́wọ́ nìkan hàn	Show only the current workspace
Ipa pàtàkì GNOME Jẹ ìgbóra àgbèègbè wa.Ódàbì pé ẹnikẹni tí ó ní ìmọ ojútùú tàbí tí kò ní,lè sapa àti mú GNOME dára si.	GNOME's greatest strength is our strong community.Virtually anyone,with or without coding skills,can contribute to making GNOME better.
Kóòdù gbogbogbò UTF-32 BE	Unicode UTF-32 BE
Àwọn ojú-ìwé wẹ́ẹ̀bù	Web pages
Pánẹ́ẹ̀lì Àárín Tí Ọ̀tún	Right Centered Panel
Àyọkà Kekeré si	Smaller Text
Ṣí àmì-ìwé yìí nínú fèrèsé tuntun	Open this bookmark in a new window
Ìgúnrégé fáilì	File format
Àkóónú Àtòjọ Fèrèsé	Window List Content
Àṣìṣe kíka fálù boolean GConf 's' sOrientation	Error reading GConf boolean value 's' s
Ṣẹ̀dà àdírẹ̀sì àwòrán s	Copy image address s
Yan Gbogbo Wọn	Select All
Korean JOHAB	Korean JOHAB
Fi déètì hàn nínú aago	Show weather in clock
Àwọn ìkúndùǹ Ìjánu-ìsún Ààyè-iṣẹ́	Workspace Switcher Preferences
Fálù tó jẹmọ́ ipa tó dálé atọ́nà datadirpixmaps ni èyí.Àwọn ẹ̀ka-atọ́nà àti àwọn orúkọ àwòrán jẹ́ àwọn fálù tó fẹsẹ̀múlẹ̀.Ìyípadà fálù yìí á kan ìbẹ̀rẹ̀ iṣẹ́ sáà tókàn.	This is a relative path value based off the datadirpixmaps directory.Sub-directories and image names are valid values.Changing this value will effect the next session login.
Sàmì ìwé sí líǹkì ìtàn tí a yàn	Bookmark the selected history link
Vietnamese TCVN	Vietnamese TCVN
Pín àwọn fèrèsé nígbà gbogbo	Always group windows
Má pín àwọn fèrèsé rárá	Never group windows
Ti fèrèsé ìtàn náà	Close the history window
Western ISO-8859-1	Western ISO-8859-1
Gbogbo àwọn irúfẹ́ tí a ṣàtílẹ́yìn	All supported types
Àwòrán tí a fẹ́ láti lò fún ojú kọ̀ǹpútà píláàṣì	Preferred Image to use for login splash screen
A kò ri	Text not found
Orísun Ojú-ìwé	Page Source
Àṣẹ búburú láti fi bẹrẹ	Bad command Exec to launch
Ààyè fáìlì ojú-iṣẹ́ tó ń ṣàpèjúwe aṣàfilọ́lẹ̀.Bọ́tìnì yìí kàn wúlò tí bọ́tìnì irúfẹ́nǹkan bá jẹ́ nǹkan-aṣàfilọ́lẹ̀.	The location of the .desktop file describing the launcher.This key is only relevant if the objecttype key is launcher-object.
Tí o bá ti àkọsílẹ̀ náà ní ọ̀nàkọ́nà,wàá sọ ìròyìn náà nù.	If you close the document anyway,you will lose that information.
Kò lè darapọ̀ mọ́ alábòójútó sáà	Could not connect to the session manager
Kíki s.	Loading s…
GNOME pẹlúu ọpọ àwọn ohun tí ó yọ lójú kọmpútà,tí ò pẹlú páálí ìwéolùdarí,ìbojúwo ìwunpọ,ètò,àti ọpọlọpọ ìdarí kọmpútà.	GNOME includes most of what you see on your computer,including the file manager,web browser,menus,and many applications.
Ìlò bọ́tìnì yìí nínú GNOME 2.6 ti kúrò láṣà.fún 'ìgúnrégé' bọ́tìnì.A tọ́jú ìtọsẹ̀ náà fún ìbámu pẹ̀lú àwọn ẹ̀yà tó ti pẹ́.	The use of this key was deprecated in GNOME 2.6 in favour of the 'format' key.The schema is retained for compatibility with older versions.
Ṣàyẹ̀wò Àwọn Àtòjọ-ẹ̀yàn	Edit Menus
Kí fáìlì sáà náà	Load the given session file
Àkópọ̀-ìròyìn Mozilla s	Mozilla s profile
Vietnamese TCVN	Vietnamese TCVN
Fi pamọ́ Lórúkọ	Save As…
Fi pamọ́ Lórúkọ	Save As…
Wá Tílẹ̀	Find Previous
Gbé fèrèsé lọ sí ààyè-iṣẹ́ kẹta	Move window to workspace 3
Bèrè ì́parí iṣẹ́	Allow logout
Central European IBM-852	Central European IBM-852
Arabic Windows-1256	Arabic Windows-1256
Ìgbéwọlé kùnà	Import failed
Greek ISO-8859-7	Greek ISO-8859-7
Hebrew ISO-8859-8-I	Hebrew ISO-8859-8-I
Ṣàfikún Àmì-ìwé.	Add Bookmark
Ohun ìdánimọ̀ pánẹ́ẹ̀lì ìpele-òkè tó ní nǹkan yìí nínú.	The identifier of the toplevel panel which contains this object.
Fi kọ́lọ̀mù àdírẹ̀sì nìkan hàn	Show the address column
Wọ,kí o sì ju áíkànnù yìí sílẹ̀ láti ṣẹ̀dá líǹkì sí ojú-ìwé yìí	Drag and drop this icon to create a link to this page
Wá ìṣẹ̀lẹ̀ ìwádìí fọ́nrán tókàn	Find next occurrence of the search string
Wá ọ̀rọ̀ tàbí àpólà ní ojú-ìwé náà	Find a word or phrase in the page
Fi gbogbo àwọn àkọlé hàn	Show all topics
Táàbù Tókàn	Next Tab
Ṣàfikún àmì-ìwé fún ojú-ìwé lọ́wọ́lọ́wọ́	Add a bookmark for the current page
Ńlá Díẹ̀Size	X Large
Tó bá jẹ́ òótọ́,àwọn ààyè-iṣẹ́ nínú ì̀jánu-ìsún ààyè-iṣẹ́ yóò ṣàfihàn àwọn orúkọ àwọnààyè-iṣẹ́.Láì jẹ́ bẹ́ẹ̀ wọn yóò ṣàfihàn àwọn fèrèsé lórí ààyè-iṣẹ́ náà.	If true,the workspaces in the workspace switcher will display the names of the workspaces.Otherwise they will display the windows on the workspace.This setting only works when the window manager is Metacity.
Aṣìse títi fáìlì sáà 's' s	Error closing session file 's' s
South European ISO-8859-3	South European ISO-8859-3
Àwọn Gbàgede Agbègbè	Nearby Sites
Àwọn Àlàyé Ẹ̀yìn Àwòrán	Image Background Details
Aládùrófún Alábòójútó Sá́à	Show session management options
Olótùú Àtòjọ-ẹ̀yàn	Simple Menu Editor s
Ìtẹ̀-ìka ọwọ́ SHA1	SHA1 Fingerprint
Ìṣàlàyé pánẹ́ẹ̀lì	Panel orientation
Celtic ISO-8859-14	Celtic ISO-8859-14
Ṣàfihàn ìrànwọ́ ìtàn	Display history help
Gbé Táàbù -Ọtún	Move Tab Right
Ètò tí a ti bẹ̀rẹ̀ àwọn ì̀ṣàmúlò-ètò nínú sáà náà.	List of applications that are part of the default session.
Àwọn Fèrèsé Ìtasókè	Popup Windows
Àwọn Ìrísí-lẹ́tà Sítàì	Fonts Style
IMS p	IMS p
Àkópọ̀-ìròyìn Mozilla s	Mozilla s profile
Lẹ agbàròyìn dúró	Paste clipboard
Yí ìyítumọ̀ àyọkà náà padà	Change the text encoding
Chinese Simplified HZ	Chinese Simplified HZ
Fáìlì s wà.Jọ̀wọ́ gbé kúrò lọ́nà.	The file s exists.Please move it out of the way.
Tí o bá pa àtòjọ Àwọn Àkọsílẹ̀ Àìpẹ́ rẹ́,wà á pa àwọn wọ̀nyí rẹ́ Gbogbo àwọn wúnrẹ̀n láti inú Àwọn Ibìkan wúnrẹ̀n àtòjọ-ẹ̀yàn Àwọn Àkọsílẹ̀ Àìpẹ́.Gbogbo àwọn wúnrẹ̀n láti inú àtòjọ àwọn àkọsílẹ̀ nínú gbogbo àwọn ìṣàmúlò-ètò.	If you clear the Recent Documents list,All items from the Places Recent Documents menu item.All items from the recent documents list in all applications.
Central European ISO-8859-2	Central European ISO-8859-2
Irúfẹ́ ẹ̀yìn wo la ó lò fún pánẹ́ẹ̀lì yìí.Àwọn fálù tó lè jẹ́ ni gtk - a óò lo ẹ̀yìn wíjẹ́ẹ̀tì ìpéwọ̀n GTK,àwọ̀ a óò lo bọ́tìnì àwọ̀ gẹ́gẹ́ bíi àwọ̀ ẹ̀yìn tàbí àwòrán - àwòrán tí bọ́tìnì àwòrán sọ la ó lò gẹ́gẹ́ bíi ẹ̀yìn.	Which type of background should be used for this panel.Possible values are gtk - the default GTK widget background will be used,color - the color key will be used as background color or image - the image specified by the image key will be used as background.
Pa gbogbo àwọn wúnrẹ̀n láti inú àtòjọ àwọn àkọsílẹ̀ àìpẹ́ rẹ́	Clear all items from the recent documents list
Àkọ́gbéyẹ̀wò Píríǹtì	Print Preview
Awáròyìn Wẹ́ẹ̀bù	Web Browser
Gbagbára iṣẹ́ ipá òǹlò láti ṣàyẹ̀wò àwọn àká-irinṣẹ́.	Disable the user's ability to edit toolbars.
Parí iṣẹ́	Log out
Mú táàbù tilẹ̀ ṣiṣẹ́	Activate previous tab
Fàyè gba àwon fèrèsé ìtasókè	Allow popups
Yọọ́kúrò láti inú àkọlé yìí	Remove from this topic
Ìgúnrégé fáilì	File format
kò lè fi àṣẹ lọ́lẹ̀ 's	Could not run command 's
Ṣí àmì-ìwé tí a yàn nínú fèrèsé tuntun	Open the selected bookmark in a new window
Fi àwọn bọ́tìnì ìpamọ́ hàn	Show hide buttons
Kò lè rí àṣẹ tó fẹ́ mú siṣẹ́	Unable to locate the command to execute
Rọ́ọ̀nù Ìṣàmúlò-ètò.	Choose an icon
Fi líǹkì pamọ́ pẹ̀lú orúkọ mìíràn	Save link with a different name
Ìdádúró àìfipamọ́-aládàáṣe pánẹ́èlì	Panel autounhide delay
lM p	lM p
Á̀mì-àṣírí Òǹlò	Master password needed
Hindi MacDevanagari	Hindi MacDevanagari
Ṣí fáìlì	Open a file
Ààyè Aṣàfilọ́lẹ̀	Weather Information
CyrillicRussian IBM-866	CyrillicRussian IBM-866
Àwọn èdè tí a fẹ́ jù,àwọn kóòdù lẹ́tà méjì.	Preferred languages,two letter codes.
Sún sí táàbù yìí	Switch to this tab
Tí o bá tún nǹkan pánẹ́ẹ̀lì kì,yóò ṣàfikún ara rẹ̀ padà sípánẹ́ẹ̀lì náà.	If you reload a panel object,it will automatically be added back to the panel.
Bẹ̀rẹ̀ àpẹẹrẹ aládàáni	Start a private instance
Àwọn Sáà	New Session
Ṣẹ̀dà Àdírẹ̀sì Àwòrán	Copy Image Address
Fi àwọn fèrèsé ìṣàmúlò-ètò pamọ́,kí o sì fi ojú-iṣẹ́ hàn	Hide application windows and show the desktop
Fi Líǹkì Pamọ́ Gẹ́gẹ́ Bíi	Save Link As
Wá Èyí Tókàn	Find Next
Fi lẹ́tà kọ̀ǹpútà ránṣẹ́ sí àdírẹ̀sì s	Send an email message to s
Ṣàfikún Èdè	Add Language
Àṣẹ tí a fẹ́ rọ́ọ̀nù tí a bá tẹ	Command to run when clicked
Wá Tílẹ̀	Find Previous
Pa àkọlé jẹ s	Delete topic s
Ń sọ ní pàtó iye àwọn písẹ́ẹ̀lì tó fojúhàn nígbà tí a fi páńẹ̀ẹlì náà pamọ́ sí igun kan.Bọ́tìnì yìí kàn wúlò tí bọ́tìnì ìpamọ́aládàáṣe bá jẹ́ òótọ́.	Specifies the number of pixels visible when the panel is automatically hidden into a corner.This key is only relevant if the autohide key is true.
a d b Yfriendly timeFeb 12 1234 am	a IM p
Tó bá jẹ́ òótọ́,fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true,expand the list of weather information in the calendar window.
Aládùrófún Alábòójútó Sá́à	Show session management options
Gbà nígbà gbogbo	Always accept
Yọkúrò Nínú Pánẹ́ẹ̀lì	Remove From Panel
́Pa ìtàn ìwáròyìn rẹ́	Clear browsing history
Àwọn Fèrèsé Ìtasókè	Popup Windows
Àpótí ìṣàfihàn Xinerama níbi tí a ti ṣàfihàn pánẹ́ẹ̀lì náà	Xinerama monitor where the panel is displayed
Darapọ̀ mọ́ sáfà tó jìn	Connect to a remote computer or shared disk
Kò rí ìṣàmúlò-ètò tó yẹ	Browse and run installed applications
Áíkànnù tí a lò fún bọ́tìnì nǹkan	Icon used for object's button
Pípa ìtàn ìwáròyìn náà rẹ́ yóò mú ìpajẹ bá gbogbo àwọn líǹkì ìtàn ráúráú.	Clearing the browsing history will cause all history links to be permanently deleted.
A kò lè lo Epiphany báyìí.Ìmúbẹ̀rẹ̀ Mozilla kùnà.	Epiphany can't be used now.Initialization failed.
Ìwọ̀n àkópamọ́ fọ́nrán	Size of disk cache
Fi Àwòrán Pamọ́ Gẹ́gẹ́ bíi	Save Image As…
Ìṣílórí ìparí iṣẹ́	Logout prompt
Ṣí líǹkì ìtàn tí a yàn nínú fèrèsé tuntun	Open the selected history link in a new window
Tó bá jẹ́ òótọ́,fi déètì hàn nínú ìtalólobó-irinṣẹ́ nígbà tí atọ́ka bá wà lórí aago.	If true,show date in a tooltip when the pointer is over the clock.
Gé ẹ̀yàn náà	Cut the selection
Tó bá jẹ́ òótọ́,fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true,show week numbers in the calendar.
Àyọkà Kekeré si	Smaller Text
Àtòjọ-ẹ̀yàn Gangan	Main Menu
Fikún Pánẹ́ẹ̀lì.	Add to Panel.
Àkóónú Wẹ́ẹ̀bù	Web options
Hindi MacDevanagari	Hindi MacDevanagari
Wọ,kí o sì ju áíkànnù yìí sílẹ̀ láti ṣẹ̀dá líǹkì sí ojú-ìwé yìí	Drag and drop this icon to create a link to this page
Yan gbogbo ojú-ìwé náà	Select the entire page
Pẹ̀lú àgbékalẹ̀-ètò ojú kọ̀ǹpútà ọlọ́pọ̀,o lè ní àwọn pánẹ́ẹ̀lì lórí ojú kọ̀ǹpútà kọ̀ọ̀kan.Bọ́tìnì yìí ń tọ́ka sí ojú kọ̀ǹpútà lọ́wọ́lọ́wọ́ tí a ti ṣàfihàn pánẹ́èlì náà.	With a multi-screen setup,you may have panels on each individual screen.This key identifies the current screen the panel is displayed on.
Fi Ojú Kọ̀ǹpútà Kíkún Sílẹ̀	Leave Fullscreen
Ìfojúsí GNOME Lórí lílò àti ìbánirẹ ,ìlọ-dédé,àti àtìlẹyìn ìgbóra àjọṣepọ mú kí ó ní ìyàtọ láàrin ojú ìdarí kọmpútà	GNOME's focus on usability and accessibility,regular release cycle,and strong corporate backing make it unique among Free Software desktops.
Àwọn Ibi Alátagbà	Network Places
Chinese Traditional Big5	Chinese Traditional Big5
Àwọn ìyípadà tí a lò láti dá àwọn fọ́nrán tí a kò tíì fi lélẹ̀ wà	There are unsubmitted changes to form elements
Kò lè darapọ̀ mọ́ sáfà	Could not connect to server
Àtòjọ-ẹ̀yàn agbé-ọ̀pọ̀-ìròyìn-jáde	Multimedia menu
Ó kùnà láti ṣẹ̀dá s.	Failed to create directory s.
Fi kọ́lọ̀mù àdírẹ̀sì nìkan hàn	Show the address column
Gbogbo àwọn fáìlì	All sites
Bí a ṣe lè ṣàgbékalẹ̀ àwọn àwòrán aṣàfarawé kọ̀ǹpútà.Àwọn fálù tó lẹ̀ jẹ́ ni déédé,lẹ́ẹ̀kan àti gbagbára iṣẹ́.	How to print pages containing frames.Allowed values are normal,separately and selected.
Orúkọ ẹja	Name of fish
Fi pamọ́ Lórúkọ	Save As
Chinese Traditional Big5	Chinese Traditional Big5
Ìyárasí tó yẹ kí àwọn ìṣàfarawé kọ̀ǹpútà ó ti yọ.Àwọn fálù tó lè jẹ́ ni falẹ̀,àárín àti ìyára.Bọ́tìnì yìí kàn wúlò tí bọ́tìnì àwọn mú ìṣàfarawé kọ̀ǹpútàṣiṣẹ́ bá jẹ́ òótọ́.	The speed in which panel animations should occur.Possible values are slow,medium and fast.This key is only relevant if the enableanimations key is true.
Títẹ̀ péènì òye àárín gangan láàrin á ṣí ojú-ìwé wẹ́ẹ̀bù tí àyọkà tí a yàn lọ́wọ́lọ́wọ́ ń tọ́ka sí.	Middle clicking on the main view pane will open the web page pointed to by the currently selected text.
Ṣàyẹ̀wò Sítàì-ṣiìtì.	Edit Stylesheet…
Ṣẹ̀dá àkọlé tuntun	Create a new topic
Igbéwọlé Kùnà	Import Failed
Ìpínfúnni Ní	Issued On
Ṣàfikún èyí gẹ́gẹ́ bíi dúrọ́wà sí pánẹ́ẹ̀lì	Add this as drawer to panel
Kò lè ṣàfihàn ààyè 's	Could not open location 's
Ṣiṣẹ́ Láìsí Lórí Wáyà	Work Offline
Àwọn Irinṣẹ́ Ètò Kọ̀ǹpútà	System Tools
Lo àwọn àpótí onísọ̀rọ̀gbèsì	Use dialog boxes for errors
Dídá Àwọn Fèrèsé Tó Pajúdé Padà Sípò	Restoring Minimized Windows
Tún ìwọ̀n àyọkà náà ṣe	Adjust the text size
A kò rí áíkànnù	Icon 's' not found
position,size,and maximum	could not get information about output d
Pánẹ́ẹ̀lì Ìgun Ìsàlẹ̀	Bottom Edge Panel
ìbéèrè dá ọ̀tọ̀ padàs	query returned exception s
Fún àwọn ìtalólobó-irinṣẹ́ lágbára	Enable tooltips
Fi àwọn kọ́lọ̀mù àkọ́lé àti àdírẹ̀sì méjèèjì hàn	Show the date and time column
Abánirẹ GNOME	Friends of GNOME
Western IBM-850	Western IBM-850
Ààyè Aṣàfilọ́lẹ̀	Launcher location
Àwọn ìkúndùǹ Àtòjọ Fèrèsé	Window List Preferences
Pánẹ́ẹ̀lì Igun Òsì Tí A Fẹ̀	Left Expanded Edge Panel
Ọ̀pọ̀lọpọ̀ àtòjọ-ètò mìíràn ló ń ti ń lo bọ́tìnì s tẹ́lẹ̀ pẹ́lú àwọn aṣàtúntò x gẹ́gẹ́ bíi aṣẹ̀dá-ìtọ́ka	Some other program is already using the key s with modifiers x as a binding
Kò lè ṣàfihàn àkọsílẹ̀ ìrànwọ́	Could not display help document
O kò ní ìyànda láti ṣẹ̀dá àwọn fáìlì nínú atọ́nà yìí.	You do not have permission to create files in this directory.
Yan wúnrẹ̀nkan láti fikún dúrọ́wà	Find an item to add to the drawer
Kò rí ìṣàmúlò-ètò tó yẹ	Browse and run installed applications
Fáìlì s wà.Jọ̀wọ́ gbé kúrò lọ́nà.	The file s exists.Please move it out of the way.
Ìyárasí tó yẹ kí àwọn ìṣàfarawé kọ̀ǹpútà ó ti yọ.Àwọn fálù tó lè jẹ́ ni falẹ̀,àárín àti ìyára.Bọ́tìnì yìí kàn wúlò tí bọ́tìnì àwọn mú ìṣàfarawé kọ̀ǹpútàṣiṣẹ́ bá jẹ́ òótọ́.	The speed in which panel animations should occur.Possible values are slow,medium and fast.This key is only relevant if the enableanimations key is true.
Ṣẹ̀dá fáìlì tuntun nínú atọ́nà náà	Create new file in the given directory
Bẹ̀rẹ̀ iṣẹ́ Ní Ọ̀nà kán nà	Log Out Anyway
Tẹ bọ́tìnì yìí láti wáròyìn fún fáìlì tí a óò ṣàfikún orúkọ rẹ̀ sí fọ́nránàṣẹ.	Click this button to browse for a file whose name to append to the command string.
Chinese Simplified HZ	Chinese Simplified HZ
Àwọn Orúkọ Àwọn Ààyè-iṣẹ́	Workspace Names
Àkóónú Wẹ́ẹ̀bù	Web options
Kò lè mú siṣẹ́ 's' Àwọn Àlàyé s	Unable to execute 's's
́Ń ṣàtòjọ àwọn amúgbálẹ̀gbẹ́ alápọn	Lists the active extensions.
Fátìrì fún ìṣẹ̀dá àwọn ápúlẹ́ẹ̀tì aago.	Factory for Test DBus Applet
Ńlá Púpọ̀	XX Large
