input	target
There was an error getting information about B.	Enwere ndehie ná mbubata usoroiheomume ahụ.
rd copy	rd ndebata
Clear History	Wepụ Agụgụala
Bottom Floating Panel	Paneelụ ose n'okpuru
Interpret position relative to bottomright edge	Tụgharịa ebe n'akụkụ okpuruakanri
Failed to open X Window System display 's	Ọdịda n'imepe X Windo sistem ngosi 's
Selection Bound	Igbe Alpha nhọrọ
Error was expected but none given	A chọrọ ndehie mana enyeghị ya
Icons only	toolbar style
Window s sets SMCLIENTID on itself,instead of on the WMCLIENTLEADER window as specified in the ICCCM.	Windo s haziri SMKLAYANTỊID n'onwe ya,kama nke WMKLAYANTỊLEADER windo dịka ezipụtara ya na ICCCM.
Click to view your appointments and tasks	Pịa ka egosi àgbà na ọrụ gị
Sorry,could not rename s to s s	Ndo,abanwughị aha s na s.
Lock To Panel	Kpọchie na Paneelụ
Which type of background should be used for this panel.Possible values are none - the default GTK widget background will be used,color - the color key will be used as background color or image - the image specified by the image key will be used as background.	Kedu ụdị okpuru nke a ga-eji maka paneelụ a.Valiu mmenwu bụ gtk - difọọltụ GTK ahụ a ga-eji wijeeti nke okpuru,color - a ga-eji kii ụcha ahụ dịka okpuru ụcha mọọbụ image - egosipụtara inyogo site na kii inyogo a ga-eji ya dịka okpuru.
Modal dialog	Igbe dayalọ́ọ̀gụ̀ módáàlụ̀
Untitled s	Nsomebefaịlụ na-enweghị isiokwu
When to show preview text in icons	Mgbe a na-egosi nlebiritụanya ngwe na aịkọn ndị ahụ
Read and write	Megharịa ndezi
Y co-ordinate of panel	Y co-ordinate nke paneelụ
Creating Properties window.	Ikewapụta ngwaọrụ windo.
Undo the edit	Wepụtagharịa ndezi ahụ ehichara ehicha
You are not the owner,so you cannot change these permissions.	Ọ bụghị gị nwà nwé,ya bụ na ịgaghị agbanwe ikike a.
Show bookmarks bar by default	Gosi búùkmáàks báà site na difọ́ọ̀ltụ̀
Empty Trash	Ghewe ebemkpofuozi oghe
Show text in icons	Gosi ngwe na aịkọn ndị ahụ
Secure WebDAV HTTPS	Chekwa Wéèbụ̀DAV HTTPS
s Visible Columns	s Mpagharaogologo ndị ahụ ahụrụanya
Apply this action to all files	Ikikere nke faịlụ ahụ.
Xinerama monitor where the panel is displayed	Inyogo Xinerama ebe egosiri paneelụ ahụ
The size of the file.	Ụhara faịlụ ahụ.
s could not be found.Perhaps it has recently been deleted.	s achọtaghị ya.onwere ike bụrụ nà á kà hichapụrụ ya.
Coordinate expression ended with an operator instead of an operand	Nchịkọlata nkọwa gwụrụ ya na òpèrétọ̀ kama ópērándị̀
Read and write	Megharịa ndezi
View or modify the properties of the open folder	Gosi mọọbụ megharịa ngwaọrụ ihenhọrọ nke a họọrọ nke ọbụla
The command appears to be something actually useful.Since this is a useless applet,you may not want to do this.We strongly advise you against using s for anything which would make the applet practical or useful.	Ịmaọkwa Iwu ahụ pụtara bụrụ ihe bara uru.Kamgbe nke a bịara bụrụ apleetị na-abaghị uru,inwere ike ị gaghị achọ ime nke a.Anyị n'adụ gị ọdụ n'iji s maka ihe ọbụla nke ga-eme ka apleetị ahụ baa uru mọọbụ practical .
If set to true,then Nautilus lets you edit and display file permissions in a more unix-like way,accessing some more esoteric options.	Ọ bụrụ na a haziri ya na eziokwu,Nautilus ga-enyere gị aka idezi ụfọdụ ihenhọrọ ésòtéríìkì nke faịlụ na dayalọ́ọ̀gụ̀ nkarachọ faịlụ.
Default zoom level used by the compact view.	Difọọltụ ógó ndapụ ọsịṣọ nke ngosi aịkọn jiri rụọ ọrụ.
Show weather	Gosi ụbọchị
Disconnect the selected drive	Wepụ ụda ahụ a họọrọ
You cannot move a file over itself.	Ịgaghị edebanyenwu faịlụ n'onwe ya.
Workspace names	Aha wọkspeesi
Open in Navigation Window	Mepee na windo ngagharị
s is not a valid accelerator	s abụghị uru nwereisi maka fókọ́ọ̀sụ̀ átrībúùtù
This file cannot be started	Agaghị ewunyenwu ákàrà ahụ.
Copy Link Address	Debata ngosi ebe ụzọ njikọ
Coordinate expression contains floating point number 's' which could not be parsed	Chịkọlata nkọwa nwere ọnụọgụgụ pọịntị n'ehu ehu 's' nke ga-agaghị enwenwu ike ntọsasị
Coordinate expression had an operand where an operator was expected	Nchịkọlata nkọwa nwere ópērándị̀ ebe achọrọ ọ̀pèrètọ̀
Window List Preferences	Nkarachọ Ndesịta Windo
S of S	ld nke ld2 bytes or 3 MB2 minutes.So the whole thing will be something like 2 kb of 4 MB -- 2 hours left 4kbsec
X screen where the panel is displayed	X screen ebe egosiri paneelụ ahụ
Add a new criterion to this search	Mèé nsụnye apụghị apụ na sava a
Show only this frame in this window	Gosi sọsọ fréèmù a na windo a
Coordinate expression has an operator s where an operand was expected	Nchịkọlata nkọwa nwere ọ̀pèrétọ̀ s ebe achọrọ ópērándị̀
Select all items in this window	Họrọ ihenhọrọ niile ndị ahụ na windo a
Invalid title scale s must be one of xx-small,x-small,small,medium,large,x-large,xx-large	Skéèlụ̀ isiokwu na-enweghị isi s ga-abụrịrị otu n'ime xx-small,x-small,small,medium,large,x-large,xx-large
Focal Length	Òtìtè anya n'etiti lensị na ebe a na-ese ese
Specify a gconf location in which the applet preferences should be stored	Zipụta ebe gconf nke a ga-echekwa apleetị nkarachọ
The water needs changing	Mmiri ahụ chọrọ mgbanwe Lee ụbọchị táà
Mon,Oct 00 0000 at 000000 PM	Mọn,Ọkt 00 0000 na 000000 PM
Move to Workspace Up	Kpụga na wọ́kspéèsì elu
Could not release screen d on display s	Agaghị ahapụnwu ngosi inyogo d s
If true,the panel will not allow any changes to the configuration of the panel.Individual applets may need to be locked down separately however.The panel must be restarted for this to take effect.	Ọ bụrụ na ọ bụ eziokwu,paneelụ ahụ agaghị e kwe mgbanwe ọbụla na nhazi paneelụ ahụ.Paneelụ ndị ọzọ ga-achọ mkpọchi n'iche n'iche ka ọ dị.A ga-ebidogharịrị paneelụ ahụ ka nke a bido ọrụ.
Error while deleting.	Ndehie mgbe a na-ehicha.
Apply this action to all files	Ikikere nke faịlụ ahụ.
Sorry,but you cannot execute commands from a remote site.	Ndọ,ịgaghị ewepụtanwu ǹtììwú site na saịtị rìmóòtù.
Error while deleting.	Ndehie mgbe a na-ehicha.
The owner could not be changed.	Agbanwenwughị ónyénwē.
Lock the selected drive	Welite ụda ahụ a họọrọ
Disable Logging Out	Ọpụpụ dizebụlụ
Property s on window 0xlx contained invalid UTF-8 for item d in the list	Ngwaọrụ s na windo 0xlx nwere UTF-8 na-enweghị isi maka ihenhọrọ d n'ime ihendesịta
Select all the text in a text field	Họrọ ngwe niile na m̀bárá ngwe
Add Startup Program	Tinye mbido program
Application Launcher.	Obubata usoroiheomume.
This link cannot be used,because it has no target.	Agaghị ejikwa ụzọ njikọ a,maka na onweghị tágēètị̀.
Epiphany Web Bookmarks	Búùkmáàks Epiphany Wéèbụ̀
Print background colors	Ihumkpụrụedemede na ụcha
Hide Panel	Zòó paneelụ
Show toolbars by default	Gosi tulbáà site na difọ́ọ̀ltụ̀
yesterday,0000 PM	Ụnyaahu,0000 PM
attribute seen but we already have the session ID	A hụrụ átrībúùtù mana enwego ID oge mmem
Copy the selected text to the clipboard	Debata ngwe nke ahụ a họọrọ na bé òchékwáōzím̀gbèńtà
Only create windows for explicitly specified URIs.	Sọsọ kewapụta windo maka URIs ezipụtara doro anya.
Please check the spelling and try again.	Biko lee nsụpe ahụ ma nwàá ọzọ.
No startangle or from attribute on element	Enweghị startangle átrībúùtù na elementị
Move Here	Kpụghaa ebe a
Empty Trash	Ghewe ebemkpfuozi oghe
Screen d on display s already has a window manager try using the --replace option to replace the current window manager.	Inyogo d ná ngosi s ènwéláàrị́ị̀ onyenlekọta windo nwàá iji ngwaọrụ ihenhọrọ nke --nnọchi ka ọ nọchie onyenlekọta windo nọ nụ̄.
Redo Change Owner	Igbanwe ónyénwē.
Hide the menubar by default.	Zòó menubáà site na difọ́ọ̀ltụ̀
Search the web	Chọgharịa na wéèbụ̀httpwww.google.nl and httpwww.google.nlsearch qs
XX Small	XX smallSize
Brought to you by	Nke ewetààrà gị site n'aka
s is not a valid value for resize attribute	s abụghị uru nwereisi maka átrībúùtù mmegharị ụhara
Clear your browsing history	Wepụ nchọgharị agụgụala gị
Close this tab	Mechie táàbụ a
Did not understand fill type s for element	Aghọtaghị mejuo ụdị s maka elementị
Nautilus could not create the required folder s.	Nautilus ekewapụtanwughị nsomebefaịlụ ahụ a chọrọ s.
Display credits for the creators of Nautilus	Gosi nnabata maka ndị ome nkewapụta nke Nautilus
Run in Terminal	Bido n'ebe ngwaọrụ mbupụ na mbubata ozi
Move to Workspace Down	Kpụga na wọ́kspéèsì ala
Error while moving.	Ndehie mgbe a na-akpụgharị.
Coordinate expression was empty or not understood	nchịkọlata nkọwa ghè óghē mọọbụ na aghọtaghị ya
Desktop trash icon name	Aha aịkọn ebe mkpofuozi desktọ́ọ̀pụ̀
Select All	Họrọ Ha niile
The water needs changing	Mmiri ahụ chọrọ mgbanwe Lee ụbọchị táà
Icon View Defaults	Dìfọ́ọ̀ltụ̀ ngosi aịkọn
Reversed Order	Ntugharị ihu iwu nhazi
No startangle or from attribute on element	Enweghị startangle átrībúùtù na elementị
Rotate on vertical panels	Tugharịa na vatịkal peneelụ
s 'dst copys	s dst ndebatas
Workarounds for broken applications disabled.Some applications may not behave properly.	Rụgharịa maka usoroiheomume mebirila emebi.Ụfọdụ usoroiheomume nwere ike ha agaghị akpa ezi agwa.
Default View	Ngosi Dìfọ́ọ̀ltụ̀
Browse and run installed applications	Enwetaghị usoroiheomume dabaranụ̄
Previous Tab	Táàbụ̀ ochie
Menu Bar	Menu baa
Copy image address s	Debata ngosi ebe inyogo 's
The permissions of s could not be determined.	Ikike ahụ nke s agaghị atachịtere ya obi.
s is not a valid value for state attribute	s abụghị uru nwereisi maka ọnọdụ átrībúùtù
Cookie Properties	Ngwaọrụ Kukiis
By Type	Site n'ụdị
With a multi-screen setup,you may have panels on each individual screen.This key identifies the current screen the panel is displayed on.	Tinyere nrụnye nke mọlti-skriin,inwere ike inwe paneelụ n'inyogo nke ọbụla.Kii a na-egosipụta inyogo ọfụụ ǹkè a na-egosi paneelụ na ya.
Toggle maximization state	Pịa n'ọnọdụ mbawanye
The destination folder is inside the source folder.	Nsomebefaịlụ keụlọ nọ n'ime ebensinweta nsomebefaịlụ.
Sorry,could not change the group of s s	Ndọ,Agbanwenwughị òtù ahụ nke s.
Error while moving.	Ndehie mgbe a na-akpụgharị.
This name can be set if you want a custom name for the home icon on the desktop.	A ga-ahazinwu aha a ma ọ bụrụ na ịchọrọ aha emeredịkachọrọ maka aịkọn keụlọ na desktọ́ọ̀pụ̀.
Could not save launcher	Agaghị ekepụtanwu obubata
Toolbar style.Allowed values are use GNOME default style,both text and icons,both-horiz text besides icons,icons,and text.	Ọdịdị tulbáà.Valius ndị ekwere bụ use GNOME default style,both text and icons,both-horiz text besides icons,icons,and text.
Move current tab to right	Kpụga táàbụ̀ ọfụụ n'akanri
No URI provided for panel launcher desktop file	Onweghị URI ewepụtaara paneelụ obubàtà desktọọpụ faịlụ
Rotate on vertical panels	Tugharịa na vatịkal peneelụ
Unknown type s on element	Ụdị a na-amaghị s na elementị
The command of the launcher is not set.	A ga-ebido aịkọn iwu.
The name s is already used in this location.Please use a different name.	Éjìríláàrị́ị̀ aha s ahụ rụọ ọrụ na nsomebefaịlụ a.Biko jiri aha ọzọ.
When a folder is visited this viewer is used unless you have selected another view for that particular folder.Possible values are list-view,and icon-view.	Mgbe achọtara nsomebefaịlụ a na-eji ngosi faịlụ a ma ọ bụrụ na ị họrọla ngosi ọzọ maka otu nsomebefaịlụ.Uru dị mmenwu bụ listview na iconview.
by Name	Site n'aha
Switch windows of an application	Kpụgharịa n'etiti windo ozugbo
Error while deleting.	Ndehie mgbe a na-ehicha.
To open non-local files copy them to a local folder and then drop them again.	N'imepe faịlụ ndị na-abụghị keụlọ debaa ha na nsomebefaịlụ keụlọ ma tọ̀gbọ́ ha ọzọ.
Disable connection to session manager	Enweghị ike isụnye n'onyenlekọta oge mmem
Add a new criterion to this search	Mèé nsụnye apụghị apụ na sava a
Select items in this window matching a given pattern	Họrọ ihenhọrọ ndị a na windo a nke dabara n'usoro enyere
Did not understand arrow s for element	A ghọtaghị árò s maka elementị
Chinese Simplified HZ	Chinese Simplified HZ
Arabic MacArabic	Arabic MacArabic
Coordinate expression had a close parenthesis with no open parenthesis	Nchịkọlata nkọwa nwere mmechi okwu mgbakwunye ya na enweghị mmepe okwu mgbakwunye
This is a sample message in a sample dialog	Nke a bụ sampụlụ ozi n'ụdị sampụlụ dayalọ́ọ̀gụ̀
The owner of the file.	Ónyénwē faịlụ ahụ.
Page numbers	Ọnụọgụgụ ihuakwụkwọ
If you want to eject the volume,please use Eject in the popup menu of the volume.	Ọ bụrụ na ịchọrọ iwepụ ụda,biko jiri Nwepụ n'ọpịpị-akanri menu nke ụda.
Default column order in the list view	Dìfọ́ọ̀ltụ̀ nhazi mpagharaogologo na ndesịta ngosi
If true,expand the list of tasks in the calendar window.	Ọ bụrụ na ọ bụ eziokwu,Gosi ọnụọgụgụ izu ụka na Kalenda.
Select an application to view its description.	Họrọ usoroiheomume ka i gosi nkọwa ya.
Test Bonobo Applet Factory	Nwalee ụlọọrụ Bonobo apleetị
Leave icons wherever they are dropped	Hapụ aịkọn n'ebe ọbụla a hapụrụ ha
not set in etcpasswd and no value for HOME in environment	Achọtaghịnwu ihenlereanya keụlọ Ekpokọtaghị ya na dgzokwumbanye na nke na-abaghị uru maka ụlọ HOME
dst link to s	dst banye na s
There was an error copying the file into F.	Enwere ndehie ná mbubata usoroiheomume ahụ.
Empty Trash	Ghewe ebemkpofuozi oghe
geometry cannot be used with more than one URI.	agaghị ejinwu nautilus --jiometịrị karịa otu URI.
Only show folders in the tree side pane	Sọsọ gosi nsomebefaịlụ na tríì saịdbáà
s found in configuration database is not a valid value for mouse button modifier	s Enwetara na kọnfịgọreshiọn databéèzì abụghị uru nwere isi maka omemmegharị bọtịn máụ̀sụ̀
Romanian MacRomanian	Romanian MacRomanian
Coordinate expression contains floating point number 's' which could not be parsed	Chịkọlata nkọwa nwere ọnụọgụgụ pọịntị n'ehu ehu 's' nke ga-agaghị enwenwu ike ntọsasị
New Topic	Isiokwu ọfụụ
Get the current time and date	Nweta Oge na ụbọchị nke ozugbo
Home icon visible on desktop	A hụrụ aịkọn nke ụlọ na desktọ́ọ̀pụ̀
Error rewinding file 's' s	Ndehie na-eweghachi faịlụ 's' snamename
X co-ordinate of panel	X co-ordinate nke paneelụ
Duplicating B	Ítụ̀ nà s
Switch to workspace 3	Banye na wọ́kspéèsì 3
Coordinate expression tries to use mod operator on a floating-point number	Nchịkọlata nkọwa nà-ánwà iji ọ̀pèrétọ̀ mood n'ọnụọgụgụ pọịntị-n'éhū èhù
New Tab	Táàbụ̀ ọfụụ
Size of disk cache	Ụhara nke diski ébéńchékwáózīọ́sị́sọ́
Choose the order of information to appear in this folder	Họrọ iwu nhazi nke ozi ka ọpụta na nsomebefaịlụ a.
Another compositing manager is already running on screen i on display s.	Agaghị enwenwu ike ịnata nhọrọ onyenlekọta windo na d ngosi inyogo s
Restore Selected Items	Bagharịa ihenhọrọ ahụ a họọrọ aha
Unmount the selected volume	Ewelitekwala ụda ahụ a họọrọ
This file cannot be started	Agaghị ewunyenwu ákàrà ahụ.
All items in the Trash will be permanently deleted.	Ọ bụrụ na ikpochapụ ndesịta nke ebe,ha ga-apụ kpam kpam.
Unable to access the requested location.	Ebubatanwughị usoroiheomume cd bọna.
End of current session	Ngwụcha seshiọn ọfụụ
Custom Background	Nhazi okpuru emeredịkachọrọ
Custom Application Launcher	Obubata usoroiheomume emeredịkaachọrọ
Internet time	Oge Ịntaneetị
What to do with executable text files when they are activated single or double clicked.Possible values are launch to launch them as programs,ask to ask what to do via a dialog,and display to display them as text files.	Ihe a ga-eji faịlụ ngwe dị̄ mbido méé mgbe ejiri ha rụọ ọrụ pịa otu ugboro mọọbụ pịmpịkwasa.Uru dị mmenwu ga bubata ebubata ha dịka program,jụọ n'ịjụ ihe a ga-eme n'ụzọ dayalọ́ọ̀gụ̀,nakwa display igosi ha dịka faịlụ ngwe ndị ahụ.
Open Scripts Folder	Mepee ihendesịta nsomebefaịlụ
Show the address column	Gosi sọsọ mpagharaogologo ngosi ebe
Background type	Ụdị inyogo
Gradients should have at least two colors	Mmakọ ụcha kwesịrị inwe ọbụnaghị ụcha abụọ
Remember passwords	Họrọ okwumbanye.
You can download it or make a link to it.	Í nwèrè ike ibubata ya mọọbụ méé ụzọ njikọ na ya.
The name and icon of the file.	Aha na aịkọn nke faịlụ ahụ.
Duplicate 's' in 's	Ítụ̀ nà s
View of the current folder	Ngosi nke nsomebefaịlụ nọ ugbua
Delete all items in the Trash	Hichaa ihenhọrọ niile n'ime ebemkpofuozi
Select items in this window matching a given pattern	Họrọ ihenhọrọ ndị a na windo a nke dabara n'usoro enyere
Style has already been specified for state s focus s	Ezipụtala ọdịdị maka ọnọdụ s fókọ́ọ̀sụ̀ s
Cursor Position	Ebe emeredịkachọrọ
Element is not allowed below	Anaghị anabata elementị n'okpuru
List Columns	Ndesịta mpagharaogologo ndị ahụ
Use the encoding specified by the document	Jiri ndenye kóòdù ahụ ezipụtarala site n'aka dọkumenti
Download Link	Bubata ụzọ njikọ
Element is not allowed inside a distanceborderaspectratio element	Anabataghị elementị n'ime agbataaspectratio elementị dị anya
Show location bar in new windows	Gosi ebe báà na windo ndị ọfụụ
Greek Windows-1253	Greek Windows-1253
Interpret position relative to bottomright edge	Tụgharịa ebe n'akụkụ okpuruakanri
Top Floating Panel	Paneelụ ōsé n'elu
Additional startup programs	Mgbakwunye mbido programs
Epiphany bookmarks	Búùkmáàks Epiphany
Element is not allowed inside a element	Anabataghị elementị n'ime elementị
Trash icon visible on desktop	Aịkọn ebemkpofuozi nke a hụrụ anya na desktọ́ọ̀pụ̀
Move Here	Kpụghaa ebe a
Error while creating directory B.	Ndehie mgbe a na-ekewapụta ụzọ njikọ na s.
Computer icon visible on desktop	Aịkọn kọmputa ahụrụanya na desktọ́ọ̀pụ̀
Window manager warning	Onyenlekọta windo na-ama ọkwa
Toolbar style.Allowed values are use GNOME default style,both text and icons,both-horiz text besides icons,icons,and text.	Ọdịdị tulbáà.Valius ndị ekwere bụ use GNOME default style,both text and icons,both-horiz text besides icons,icons,and text.
Mon,Oct 00 0000 at 0000 PM	Mọn,Ọkt 00 0000 na 0000 PM
yesterday at -IMS p	Ụnyaahụ na -IMS p
Open Scripts Folder	Mepee ihendesịta nsomebefaịlụ
Panel Notification Area	Paneelụ mpaghara ebe ọmụmaọkwa
The fish's animation pixmap	Pixmap animeshiọnụ azụ
View or modify the properties of each selected item	Gosi mọọbụ megharịa ngwaọrụ ihenhọrọ nke a họọrọ nke ọbụla
Local files	Faịlụ ndị nkeụlọ
Where to position newly open tabs in browser windows.	Na-emepe na windo omenchọgharị
By Name	Site n'aha
Lower window below other windows	Budata windo n'okpuru windo ndị ọzọ
The command appears to be something actually useful.Since this is a useless applet,you may not want to do this.We strongly advise you against using s for anything which would make the applet practical or useful.	Ịmaọkwa Iwu ahụ pụtara bụrụ ihe bara uru.Kamgbe nke a bịara bụrụ apleetị na-abaghị uru,inwere ike ị gaghị achọ ime nke a.Anyị n'adụ gị ọdụ n'iji s maka ihe ọbụla nke ga-eme ka apleetị ahụ baa uru mọọbụ practical .
If you reload a panel object,it will automatically be added back to the panel.	Ọ bụrụ na ibubatagharịa ọbjektị paneelụ,ọ ga-eji aka ya tinyeghachi na paneelụ ahụ.
Could not parse shade factor s in shaded color	Agaghị atọsasịnwu faktọ shéèdì s n'ụcha éshéèdị̀rị̀ èshéèdị̀
Specifies the number of milliseconds delay after the pointer enters the panel area before the panel is automatically re-shown.This key is only relevant if the autohide key is true.	Na-ezipụta ọnụọgụgụ nke ogbugbu oge nke milisekọnds mgbe pọịnta banyere na mpaghara paneelụ tupuu paneelụ ejiri aka ya gosigharịa onwe ya.Kii a sọsọ bara uru ma ọ bụrụ na kii autohide bụ eziokwu.
Frame style already has a button for function s state s	Ọdịdị fréèmù ènwéláàrị́ị̀ bọtịn maka s ọnọdụ nrụọrụ s
Adjust Date Time	Webilata ụbọchị na oge
If this is set to true,an icon linking to the Network Servers view will be put on the desktop.	Ọ bụrụ na a haziri nke a na eziokwu,aịkọn na-abanye n'ebemkpofuozi a ga-etinye ya na desktọ́ọ̀pụ̀.
Select Custom Icon	Họrọ aịkọn emeredịkachọrọ.
must be specified for this frame style	A ga-ezipụtarịrị maka ọdịdị fréèmù a
This is a demo button with an 'open' icon	Nke a bụ demo bọtịn nwere aịkọn 'mepere emepe
Error while moving B.	Ndehie mgbe a na-edebata na s.
Take a screenshot of a window	Skrììnshọ́ọ̀tụ̀ọ́ na windo
Default font type.Possible values are serif and sans-serif.	Ụdị ihumkpụrụedemede difọ́ọ̀ltụ̀.Pọsịbụl valius bụ serif na sans-serif.
Aspect ratio s is unknown	Amaghị s aspektị reshio
Move window to workspace 3	Kpụga windo na 3 wọ́kspēèsì
s 'dth copys	s dth ndebatass copy 'ds
Camera Brand	Ụdị kamera
Panel Properties	Akparamagwa paneelụ
s Files	Faịlụ ndị ahụ
Launcher location is not set,cannot load launcher	Ekpokọtaghị kii s,agaghị edebata obubata
Celtic ISO-8859-14	Celtic ISO-8859-14
ISO Speed Rating	ISO retịn ngwa ngwa
Single click to open items	Pịa otu ugboro ka ibido ọrụ ihenhọrọ ndị ahụ
Open the contents of your desktop in a folder	Mepee nsomebefaịlụ perentị ahụ
By Modification Date	Site na mmegharị ụbọchị
Share and transfer files	Ịkewapụta njikọ na faịlụ ndị ahụ
You do not have the permissions necessary to rename s.	Inweghị ikikere kwesịrịnụ ịbagharị aha s.
untitled folder	Nsomebefaịlụ na-enweghị isiokwu
s is not a valid value for state attribute	s abụghị uru nwereisi maka ọnọdụ átrībúùtù
Run executable text files when they are opened	Bido faịlụ ngwe ndị dị̄ mbido mgbe a pịrị ha
Double click to open items	Pịapịkwasa ka ibido ọrụ ihenhọrọ ndị ahụ
Open Scripts Folder	Mepee ihendesịta nsomebefaịlụ
User-defined constants must begin with a capital letter s does not	Nkọwa-ojieme énwēghị́ḿgbánwè ga-ebido na mkpụrụ edemede nke ukwu s enweghị
Move the open folder to the Trash	Ịkpụga faịlụ na n'ebemkpofuozi
Cyrillic Windows-1251	Cyrillic Windows-1251
a,b e Y IMS p	a,b -d Y at -IMS p
Create a new empty folder inside this folder	Kewapụta nsomebefaịlụ ọfụụ ghe oghe n'ime nsomebefaịlụ a
Did not understand shadow s for element	A ghọtaghị inyogo s maka elementị
Folder access	Abanyego ụbọchị
Including drawops s here would create a circular reference	Itinye drawops s ebe a ga-ekewapụta gburugburu nrụaka
Bookmark Link…	Ụzọ njikọ Buukmakị.
FirefoxMozilla bookmarks	Búùkmáàks FirefoxMozilla
Search Folder	Kewapụta nsomebefaịlụ
Download finished	Bubata ụzọ njikọs of s
Safely Remove Drive	Hichaa wepụ
Always open in browser windows	Na-emepe na windo omenchọgharị
Central European MacCE	Central European MacCE
Reposition icons to better fit in the window and avoid overlapping	Aịkọn mkpụgharị ga-aka daba na windo ma zere mmabanye
Chinese Traditional Big5-HKSCS	Chinese Traditional Big5-HKSCS
Change the visibility of this window's side pane	Gbanwe àhụ́mányá nke saịdbáà windo a
Replace All	Dochie ha niile
Only on This Workspace	Sọsọ na wọ́kspéèsì a
Add a New Toolbar	Tinye Tulbáà ọfụụ
Redo Create Folder	Kewapụta Nsomebefaịlụ
Skip files	Debata faịlụ ndị ahụ
Welcome to the GNOME Desktop	Nnọ́ọ̀ nà GNOME Desktọ́ọ̀pụ̀
XX Large	XX Large
Maximize window	Bawanye windo
If true,the background image will be rotated when the panel is oriented vertically.	Ọ bụrụ na ọ bụ eziokwu,a ga-atụgharị inyogo okpuru mgbe eduziri paneelụ vatikali.
Window manager error	Ndehie onyenlekọta windo
Element is not allowed inside a draw operation element	Anabataghị elementị n'ime drọ́ọ̀ usoroomumeihe elementị
No URL to launch	Enweghị URL a ga-ebubata
Copying Files	Idebata faịlụ ndị ahụ
Show session management options	Proxy Onyenlekọta ogemmem
If set to true,newly opened windows will have the location bar visible.	Ọ bụrụ na a haziri ya na eziokwu,windo ndị á kà mepere ọfụụ ga-eme ka áhụ́ báà ébē anya.
If this is set to true,an icon linking to the computer location will be put on the desktop.	Ọ bụrụ na a haziri nke a na eziokwu,aịkọn na-abanye na kọmputa a ga-etinye ya na desktọ́ọ̀pụ̀.
Show Desktop Button	Gosi Bọtịn Desktọọpụ
Do not Empty Trash	Ghewe ebemkpofuozi oghe
Redo Create Empty File	Ghewe faịlụ oghe
Switch to workspace on the right of the current workspace	Banye na wọ́kspéèsì n'akanri
List of possible captions on icons	Ndesịta okwu okpuru na aịkọn ndị ahụ
Import Bookmarks	Bubata Búùkmáàks
Edit Menus	Dezie menu
S of S	ld nke ld2 bytes or 3 MB2 minutes.So the whole thing will be something like 2 kb of 4 MB -- 2 hours left 4kbsec
Specifies the background color for the panel in RGB format.	Na-ezipụta ụcha okpuru maka paneelụ ahụ na nhazi nke RGB.
Download Link	Bubata ụzọ njikọ
Mozilla s profile	Mozilla s profile
Workspace Names	Aha wọkspeesi
Save the current page	Chekwaa ihuakwụkwọ nke ọfụụ
Most Visited	Nke á kà banye
Move to Another Workspace	Kpụga na wọ́kspéèsì ọzọ
Delete all items in the Trash	Hichaa ihenhọrọ niile n'ime ebemkpofuozi
Failed to open X Window System display 's	Ọdịda n'imepe X Windo sistem ngosi 's
Coordinate expression contains floating point number 's' which could not be parsed	Chịkọlata nkọwa nwere ọnụọgụgụ pọịntị n'ehu ehu 's' nke ga-agaghị enwenwu ike ntọsasị
Open Link in New Tab	Mepee ụzọ njikọ na táàbụ̀ ọfụụ
Set as Background	Hazie dịka Okpuru
Show Places	Gosi s
GTK color specification must have the state in brackets,e.g.gtkfgNORMAL where NORMAL is the state could not parse s	GTK nzipụta ụcha ga-enwe ọnọdụ n'ụdị akara mmechi,ọmụmaatụ.gtkfgNORMAL ebe NỌ́MÁÀLỤ̀ bụ ọnọdụ agaghị enwenwu ike ịtọsasi s
Set permissions of items enclosed in 's	Ikikere nke faịlụ ahụ.
Window List Preferences	Nkarachọ Ndesịta Windo
Command to execute on click	A ga-emepụta iwu n'ịpị
s Properties	s Ngwaọrụ ndị ahụMIME type description MIME type
Utility Palette	Iheọrụ páléètị̀
Left Centered Panel	Paneelụ akanri etiti
Sorry,but emblem keywords can only contain letters,spaces and numbers.	Ǹdó,mana ákàrà ngwenchọcha ga-abanwu sọsọ mkpụrụokwu,ohere na ọnụọgụgụ.
Could not open location 's	Agaghị egosinwu ebe 's
Coordinate expression has operator c following operator c with no operand in between	Nchịkọlata nkọwa nwere ọ̀pèrétọ̀ c na-eso ọ̀pèrétọ̀ c ya na onweghị ópērándị̀ n'etiti
Whether to show hidden files	Ma ọ bụ ka egosi faịlụ ndị ahụ e zoro ezo
x value was d,d was expected	valiu x bụ d,d a chọrọ ya
Error writing session file 's' s	Ndehie nchekwaozi oge mmem faịlụ 's' s
Only from sites you visit	Sọsọ site na saịtị ndị ịbanyegorolaOnly from sites you visit
Mount and open s	Emepenwughịị s
Move window to workspace 2	Kpụga windo na 2 wọ́kspēèsì
Move or copy files previously selected by a Cut or Copy command into this folder	Kpụgha mọọbụ debata faịlụ ndị a họrọburu site n'ihicha faịlụ mọọbụ debata faịlụ ntiiwu n'ime nsomebefaịlụ a họọrọ
check cannot be used with other options.	agaghị ejinwu nautilus --ntinyeakaranhọrọ ya na ihenhọrọ ndị ọzọ.
